goblinslayer,https://yenpress.com/titles/9781975388225-goblin-slayer-vol-2,Yen Press,Goblin Slayer,2,Audio,9781975388225,2024-02-13
goblinslayer,https://yenpress.com/titles/9781975388232-goblin-slayer-vol-3,Yen Press,Goblin Slayer,3,Audio,9781975388232,2024-05-14
goblinslayer,https://yenpress.com/titles/9781975388249-goblin-slayer-vol-4,Yen Press,Goblin Slayer,4,Audio,9781975388249,2024-08-13
goblinslayer,https://yenpress.com/titles/9798855411492-goblin-slayer-vol-5,Yen Press,Goblin Slayer,5,Audio,9798855411492,2024-11-12
goblinslayer,https://yenpress.com/titles/9798855411508-goblin-slayer-vol-6,Yen Press,Goblin Slayer,6,Audio,9798855411508,2025-02-11
goblinslayer,https://yenpress.com/titles/9798855411515-goblin-slayer-vol-7,Yen Press,Goblin Slayer,7,Audio,9798855411515,2025-05-13
goblinslayer,https://yenpress.com/titles/9798855411522-goblin-slayer-vol-8,Yen Press,Goblin Slayer,8,Audio,9798855411522,2025-08-12
goblinslayer,https://yenpress.com/titles/9798855411539-goblin-slayer-vol-9,Yen Press,Goblin Slayer,9,Audio,9798855411539,2025-11-11
goblinslayer,https://yenpress.com/titles/9798855411546-goblin-slayer-vol-10,Yen Press,Goblin Slayer,10,Audio,9798855411546,2026-02-10
goblinslayer,https://yenpress.com/titles/9798855434880-goblin-slayer-vol-11,Yen Press,Goblin Slayer,11,Audio,9798855434880,2026-05-05
hellmode,https://global.bookwalker.jp/de382c3a30-c400-48bf-b072-5eb6bd726a35/,J-Novel Club,Hell Mode,1,Audiobook,9798350805260,2025-12-16
hellmode,https://global.bookwalker.jp/de227b9049-124a-41f0-a10e-d48b66ecaf27/,J-Novel Club,Hell Mode,2,Audiobook,9798350805284,2025-12-16
hellmode,https://global.bookwalker.jp/dee4016be8-e297-420a-abe5-4356b8291479/,J-Novel Club,Hell Mode,3,Audiobook,9798350805307,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/debde00bba-ba82-46a4-9032-236b7f67ff19/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,1,Audiobook,9798765080184,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/de5daca1d7-2373-4939-ac78-570ba254a20b/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,2,Audiobook,9798765080207,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/de5aaaf063-e2d8-4331-aa6c-3454fb4c36e0/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,3,Audiobook,9798765080221,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/de0c04afaf-9f06-4cf8-a7ba-416f9f8a7dfd/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,4,Audiobook,9798765080245,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/de13bda094-2879-4926-9901-0869892ff25f/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,5,Audiobook,9798765080269,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/dec1848727-914a-4590-9d44-99f0991fda92/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,6,Audiobook,9798765080283,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/de2f5d5d74-ad9f-4666-ab6e-6b863066f386/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,7,Audiobook,9798765080306,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/ded0040009-e4a8-480f-bb39-8ad2afc416fd/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,8,Audiobook,9798765080320,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/de907654ac-6b8c-4e56-a572-daa28a24ea69/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,9,Audiobook,9798765080344,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/de01cc967e-8242-4208-ad8f-3d6a3e7bc9d8/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,10,Audiobook,9798765080368,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/de010d6cac-336a-47cc-a06c-c56ebae79a9d/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,11,Audiobook,9798765080382,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/ded8d81154-2e0a-4151-895a-2aeb5be3a059/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,12,Audiobook,9798765080405,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/de976c6720-d0c5-4e40-a8c8-027035ae1f7b/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,13,Audiobook,9798765080429,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/de70c6f0dc-e35e-464b-a695-a4306de1b16c/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,14,Audiobook,9798765080443,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/de1070d90d-6991-43ca-ae52-44b5d334cfa4/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,15,Audiobook,9798765080467,2025-12-16
howarealistherorebuiltthekingdom,https://global.bookwalker.jp/deac591093-7abc-40db-a182-8018689db424/,J-Novel Club,How a Realist Hero Rebuilt the Kingdom,16,Audiobook,9798765080481,2025-12-16
idratherhaveacatthanaharem,https://crossinfworld.com/I-Rather-Have-a-Cat-than-a-Harem.html,Cross Infinite World,I'd Rather Have a Cat than a Harem!,1,Audiobook,,2022-08-16
idratherhaveacatthanaharem,https://crossinfworld.com/I-Rather-Have-a-Cat-than-a-Harem-Volume-2.html,Cross Infinite World,I'd Rather Have a Cat than a Harem!,2,Audiobook,,2023-01-31
ifthevillainessandvillainmetandfellinlove,https://yenpress.com/titles/9798855427998-if-the-villainess-and-villain-met-and-fell-in-love-vol-1,Yen Press,If the Villainess and Villain Met and Fell in Love,1,Audio,9798855427998,2025-10-14
ifthevillainessandvillainmetandfellinlove,https://yenpress.com/titles/9798855428001-if-the-villainess-and-villain-met-and-fell-in-love-vol-2,Yen Press,If the Villainess and Villain Met and Fell in Love,2,Audio,9798855428001,2026-01-13
ifthevillainessandvillainmetandfellinlove,https://yenpress.com/titles/9798855428018-if-the-villainess-and-villain-met-and-fell-in-love-vol-3,Yen Press,If the Villainess and Villain Met and Fell in Love,3,Audio,9798855428018,2026-04-21
ihadthatsamedreamagain,https://sevenseasentertainment.com/audio_books/i-had-that-same-dream-again-audiobook/,Seven Seas Entertainment,I Had That Same Dream Again,1,Audiobook,,2024-05-30
ihaveasecret,https://sevenseasentertainment.com/audio_books/i-have-a-secret-audiobook/,Seven Seas Entertainment,I Have a Secret,1,Audiobook,,2025-06-26
iminlovewiththevillainess,https://sevenseasentertainment.com/audio_books/im-in-love-with-the-villainess-audiobook-vol-1/,Seven Seas Entertainment,I'm in Love with the Villainess,1,Audiobook,,2023-11-16
iminlovewiththevillainess,https://sevenseasentertainment.com/audio_books/im-in-love-with-the-villainess-audiobook-vol-2/,Seven Seas Entertainment,I'm in Love with the Villainess,2,Audiobook,,2023-12-07
iminlovewiththevillainess,https://sevenseasentertainment.com/audio_books/im-in-love-with-the-villainess-audiobook-vol-3/,Seven Seas Entertainment,I'm in Love with the Villainess,3,Audiobook,,2024-01-11
iminlovewiththevillainess,https://sevenseasentertainment.com/audio_books/im-in-love-with-the-villainess-audiobook-vol-4/,Seven Seas Entertainment,I'm in Love with the Villainess,4,Audiobook,,2024-02-08
iminlovewiththevillainess,https://sevenseasentertainment.com/audio_books/im-in-love-with-the-villainess-audiobook-vol-5/,Seven Seas Entertainment,I'm in Love with the Villainess,5,Audiobook,,2024-03-14
iminlovewiththevillainessshessocheekyforacommoner,https://sevenseasentertainment.com/audio_books/im-in-love-with-the-villainess-shes-so-cheeky-for-a-commoner-audiobook-vol-1/,Seven Seas Entertainment,I'm in Love with the Villainess: She's so Cheeky for a Commoner,1,Audiobook,,2024-06-13
iminlovewiththevillainessshessocheekyforacommoner,https://sevenseasentertainment.com/audio_books/im-in-love-with-the-villainess-shes-so-cheeky-for-a-commoner-audiobook-vol-2/,Seven Seas Entertainment,I'm in Love with the Villainess: She's so Cheeky for a Commoner,2,Audiobook,,2024-08-15
iminlovewiththevillainessshessocheekyforacommoner,https://sevenseasentertainment.com/audio_books/im-in-love-with-the-villainess-shes-so-cheeky-for-a-commoner-audiobook-vol-3/,Seven Seas Entertainment,I'm in Love with the Villainess: She's so Cheeky for a Commoner,3,Audiobook,,2024-11-07
imtheevillordofanintergalacticempire,https://sevenseasentertainment.com/audio_books/im-the-evil-lord-of-an-intergalactic-empire-audiobook-vol-1/,Seven Seas Entertainment,I'm the Evil Lord of an Intergalactic Empire!,1,Audiobook,,2025-03-20
imtheevillordofanintergalacticempire,https://sevenseasentertainment.com/audio_books/im-the-evil-lord-of-an-intergalactic-empire-audiobook-vol-2/,Seven Seas Entertainment,I'm the Evil Lord of an Intergalactic Empire!,2,Audiobook,,2025-07-17
imtheevillordofanintergalacticempire,https://sevenseasentertainment.com/audio_books/im-the-evil-lord-of-an-intergalactic-empire-audiobook-vol-3/,Seven Seas Entertainment,I'm the Evil Lord of an Intergalactic Empire!,3,Audiobook,,2025-09-11
imtheevillordofanintergalacticempire,https://sevenseasentertainment.com/audio_books/im-the-evil-lord-of-an-intergalactic-empire-audiobook-vol-4/,Seven Seas Entertainment,I'm the Evil Lord of an Intergalactic Empire!,4,Audiobook,,2025-10-09
imtheevillordofanintergalacticempire,https://sevenseasentertainment.com/audio_books/im-the-evil-lord-of-an-intergalactic-empire-audiobook-vol-5/,Seven Seas Entertainment,I'm the Evil Lord of an Intergalactic Empire!,5,Audiobook,,2025-12-11
imtheheroicknightofanintergalacticempire,https://sevenseasentertainment.com/audio_books/im-the-heroic-knight-of-an-intergalactic-empire-audiobook-vol-1/,Seven Seas Entertainment,I'm the Heroic Knight of an Intergalactic Empire!,1,Audiobook,,2025-06-12
imtheheroicknightofanintergalacticempire,https://sevenseasentertainment.com/audio_books/im-the-heroic-knight-of-an-intergalactic-empire-audiobook-vol-2/,Seven Seas Entertainment,I'm the Heroic Knight of an Intergalactic Empire!,2,Audiobook,,2025-08-14
imtheheroicknightofanintergalacticempire,https://sevenseasentertainment.com/audio_books/im-the-heroic-knight-of-an-intergalactic-empire-audiobook-vol-3/,Seven Seas Entertainment,I'm the Heroic Knight of an Intergalactic Empire!,3,Audiobook,,2025-11-13
iparryeverythingwhatdoyoumeanimthestrongestimnotevenanadventureryet,https://global.bookwalker.jp/de6b6b62b2-f028-4f2d-bf9b-cacdff355dc3/,J-Novel Club,I Parry Everything: What Do You Mean I'm the Strongest? I'm Not Even an Adventurer Yet!,1,Audiobook,9798855592467,2025-12-16
iparryeverythingwhatdoyoumeanimthestrongestimnotevenanadventureryet,https://global.bookwalker.jp/de5b563f12-903a-4892-ad47-e54ef0a0b6ee/,J-Novel Club,I Parry Everything: What Do You Mean I'm the Strongest? I'm Not Even an Adventurer Yet!,2,Audiobook,9798855592481,2025-12-16
ishura,https://yenpress.com/titles/9781975376758-ishura-vol-1,Yen Press,Ishura,1,Audio,9781975376758,2023-10-10
ishura,https://yenpress.com/titles/9781975388126-ishura-vol-2,Yen Press,Ishura,2,Audio,9781975388126,2024-01-16
ishura,https://yenpress.com/titles/9781975388133-ishura-vol-3,Yen Press,Ishura,3,Audio,9781975388133,2024-04-16
ishura,https://yenpress.com/titles/9781975388140-ishura-vol-4,Yen Press,Ishura,4,Audio,9781975388140,2024-07-16
ishura,https://yenpress.com/titles/9781975388157-ishura-vol-5,Yen Press,Ishura,5,Audio,9781975388157,2024-10-15
ishura,https://yenpress.com/titles/9781975388164-ishura-vol-6,Yen Press,Ishura,6,Audio,9781975388164,2025-01-14
ishura,https://yenpress.com/titles/9798855417364-ishura-vol-7,Yen Press,Ishura,7,Audio,9798855417364,2025-04-08
ishura,https://yenpress.com/titles/9798855417371-ishura-vol-8,Yen Press,Ishura,8,Audio,9798855417371,2025-07-08
ishura,https://yenpress.com/titles/9798855417388-ishura-vol-9,Yen Press,Ishura,9,Audio,9798855417388,2025-10-14
ishura,https://yenpress.com/titles/9798855424461-ishura-vol-10,Yen Press,Ishura,10,Audio,9798855424461,2026-01-13
isitwrongtotrytopickupgirlsinadungeon,https://yenpress.com/titles/9781975388171-is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-vol-1,Yen Press,Is It Wrong to Try to Pick Up Girls in a Dungeon?,1,Audio,9781975388171,2023-11-28
isitwrongtotrytopickupgirlsinadungeon,https://yenpress.com/titles/9781975388188-is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-vol-2,Yen Press,Is It Wrong to Try to Pick Up Girls in a Dungeon?,2,Audio,9781975388188,2024-02-13
isitwrongtotrytopickupgirlsinadungeon,https://yenpress.com/titles/9781975388195-is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-vol-3,Yen Press,Is It Wrong to Try to Pick Up Girls in a Dungeon?,3,Audio,9781975388195,2024-05-14
isitwrongtotrytopickupgirlsinadungeon,https://yenpress.com/titles/9781975388201-is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-vol-4,Yen Press,Is It Wrong to Try to Pick Up Girls in a Dungeon?,4,Audio,9781975388201,2024-08-13
isitwrongtotrytopickupgirlsinadungeon,https://yenpress.com/titles/9798855411614-is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-vol-5,Yen Press,Is It Wrong to Try to Pick Up Girls in a Dungeon?,5,Audio,9798855411614,2024-11-12
isitwrongtotrytopickupgirlsinadungeon,https://yenpress.com/titles/9798855411621-is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-vol-6,Yen Press,Is It Wrong to Try to Pick Up Girls in a Dungeon?,6,Audio,9798855411621,2025-02-11
isitwrongtotrytopickupgirlsinadungeon,https://yenpress.com/titles/9798855411638-is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-vol-7,Yen Press,Is It Wrong to Try to Pick Up Girls in a Dungeon?,7,Audio,9798855411638,2025-05-13
isitwrongtotrytopickupgirlsinadungeon,https://yenpress.com/titles/9798855411645-is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-vol-8,Yen Press,Is It Wrong to Try to Pick Up Girls in a Dungeon?,8,Audio,9798855411645,2025-08-12
isitwrongtotrytopickupgirlsinadungeon,https://yenpress.com/titles/9798855411669-is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-vol-10,Yen Press,Is It Wrong to Try to Pick Up Girls in a Dungeon?,10,Audio,9798855411669,2026-02-03
isitwrongtotrytopickupgirlsinadungeon,https://yenpress.com/titles/9798855434804-is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-vol-11,Yen Press,Is It Wrong to Try to Pick Up Girls in a Dungeon?,11,Audio,9798855434804,2026-05-05
isweariwontbotheryouagain,https://sevenseasentertainment.com/audio_books/i-swear-i-wont-bother-you-again-audiobook-vol-1/,Seven Seas Entertainment,I Swear I Won't Bother You Again!,1,Audiobook,,2026-01-15
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,https://yenpress.com/titles/9781975388256-i-ve-been-killing-slimes-for-300-years-and-maxed-out-my-level-vol-1,Yen Press,I've Been Killing Slimes for 300 Years and Maxed Out My Level,1,Audio,9781975388256,2024-02-13
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,https://yenpress.com/titles/9781975388263-i-ve-been-killing-slimes-for-300-years-and-maxed-out-my-level-vol-2,Yen Press,I've Been Killing Slimes for 300 Years and Maxed Out My Level,2,Audio,9781975388263,2024-04-16
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,https://yenpress.com/titles/9781975388270-i-ve-been-killing-slimes-for-300-years-and-maxed-out-my-level-vol-3,Yen Press,I've Been Killing Slimes for 300 Years and Maxed Out My Level,3,Audio,9781975388270,2024-06-11
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,https://yenpress.com/titles/9781975388287-i-ve-been-killing-slimes-for-300-years-and-maxed-out-my-level-vol-4,Yen Press,I've Been Killing Slimes for 300 Years and Maxed Out My Level,4,Audio,9781975388287,2024-09-10
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,https://yenpress.com/titles/9798855411553-i-ve-been-killing-slimes-for-300-years-and-maxed-out-my-level-vol-5,Yen Press,I've Been Killing Slimes for 300 Years and Maxed Out My Level,5,Audio,9798855411553,2024-12-10
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,https://yenpress.com/titles/9798855411560-i-ve-been-killing-slimes-for-300-years-and-maxed-out-my-level-vol-6,Yen Press,I've Been Killing Slimes for 300 Years and Maxed Out My Level,6,Audio,9798855411560,2025-04-08
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,https://yenpress.com/titles/9798855411577-i-ve-been-killing-slimes-for-300-years-and-maxed-out-my-level-vol-7,Yen Press,I've Been Killing Slimes for 300 Years and Maxed Out My Level,7,Audio,9798855411577,2025-06-10
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,https://yenpress.com/titles/9798855411591-i-ve-been-killing-slimes-for-300-years-and-maxed-out-my-level-vol-8,Yen Press,I've Been Killing Slimes for 300 Years and Maxed Out My Level,8,Audio,9798855411591,2025-09-23
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,https://yenpress.com/titles/9798855411584-i-ve-been-killing-slimes-for-300-years-and-maxed-out-my-level-vol-9,Yen Press,I've Been Killing Slimes for 300 Years and Maxed Out My Level,9,Audio,9798855411584,2025-12-09
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,https://yenpress.com/titles/9798855411607-i-ve-been-killing-slimes-for-300-years-and-maxed-out-my-level-vol-10,Yen Press,I've Been Killing Slimes for 300 Years and Maxed Out My Level,10,Audio,9798855411607,2026-03-03
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,https://yenpress.com/titles/9798855435009-i-ve-been-killing-slimes-for-300-years-and-maxed-out-my-level-vol-11,Yen Press,I've Been Killing Slimes for 300 Years and Maxed Out My Level,11,Audio,9798855435009,2026-06-02
iwanttoeatyourpancreas,https://sevenseasentertainment.com/audio_books/i-want-to-eat-your-pancreas-audiobook/,Seven Seas Entertainment,I Want to Eat Your Pancreas,1,Audiobook,,2024-07-18
iwillforgetthisfeelingsomeday,https://sevenseasentertainment.com/audio_books/i-will-forget-this-feeling-someday-audiobook/,Seven Seas Entertainment,I Will Forget This Feeling Someday,1,Audiobook,,2025-07-17
konosuba,https://yenpress.com/titles/9781975369675-konosuba-god-s-blessing-on-this-wonderful-world-vol-1,Yen Press,Konosuba: God's Blessing on This Wonderful World!,1,Audio,9781975369675,2023-06-20
konosuba,https://yenpress.com/titles/9781975369682-konosuba-god-s-blessing-on-this-wonderful-world-vol-2,Yen Press,Konosuba: God's Blessing on This Wonderful World!,2,Audio,9781975369682,2023-09-19
konosuba,https://yenpress.com/titles/9781975369699-konosuba-god-s-blessing-on-this-wonderful-world-vol-3,Yen Press,Konosuba: God's Blessing on This Wonderful World!,3,Audio,9781975369699,2023-12-12
konosuba,https://yenpress.com/titles/9781975369705-konosuba-god-s-blessing-on-this-wonderful-world-vol-4,Yen Press,Konosuba: God's Blessing on This Wonderful World!,4,Audio,9781975369705,2024-03-12
konosuba,https://yenpress.com/titles/9781975398033-konosuba-god-s-blessing-on-this-wonderful-world-vol-5,Yen Press,Konosuba: God's Blessing on This Wonderful World!,5,Audio,9781975398033,2024-06-11
konosuba,https://yenpress.com/titles/9781975398040-konosuba-god-s-blessing-on-this-wonderful-world-vol-6,Yen Press,Konosuba: God's Blessing on This Wonderful World!,6,Audio,9781975398040,2024-09-10
konosuba,https://yenpress.com/titles/9781975398057-konosuba-god-s-blessing-on-this-wonderful-world-vol-7,Yen Press,Konosuba: God's Blessing on This Wonderful World!,7,Audio,9781975398057,2024-12-10
konosuba,https://yenpress.com/titles/9781975398064-konosuba-god-s-blessing-on-this-wonderful-world-vol-8,Yen Press,Konosuba: God's Blessing on This Wonderful World!,8,Audio,9781975398064,2025-03-11
konosuba,https://yenpress.com/titles/9798855415803-konosuba-god-s-blessing-on-this-wonderful-world-vol-9,Yen Press,Konosuba: God's Blessing on This Wonderful World!,9,Audio,9798855415803,2025-06-10
konosuba,https://yenpress.com/titles/9798855422085-konosuba-god-s-blessing-on-this-wonderful-world-vol-10,Yen Press,Konosuba: God's Blessing on This Wonderful World!,10,Audio,9798855422085,2025-09-09
konosuba,https://yenpress.com/titles/9798855422092-konosuba-god-s-blessing-on-this-wonderful-world-vol-11,Yen Press,Konosuba: God's Blessing on This Wonderful World!,11,Audio,9798855422092,2025-12-09
konosuba,https://yenpress.com/titles/9798855422108-konosuba-god-s-blessing-on-this-wonderful-world-vol-12,Yen Press,Konosuba: God's Blessing on This Wonderful World!,12,Audio,9798855422108,2026-03-10
konosubaanexplosiononthiswonderfulworld,https://yenpress.com/titles/9798855434118-konosuba-god-s-blessing-on-this-wonderful-world-vol-13,Yen Press,Konosuba: God's Blessing on This Wonderful World!,13,Audio,9798855434118,2026-06-02
kumakumakumabear,https://sevenseasentertainment.com/audio_books/kuma-kuma-kuma-bear-audiobook-vol-1/,Seven Seas Entertainment,Kuma Kuma Kuma Bear,1,Audiobook,,2025-05-15
kumakumakumabear,https://sevenseasentertainment.com/audio_books/kuma-kuma-kuma-bear-audiobook-vol-2/,Seven Seas Entertainment,Kuma Kuma Kuma Bear,2,Audiobook,,2025-07-03
kumakumakumabear,https://sevenseasentertainment.com/audio_books/kuma-kuma-kuma-bear-audiobook-vol-3/,Seven Seas Entertainment,Kuma Kuma Kuma Bear,3,Audiobook,,2025-08-07
kumakumakumabear,https://sevenseasentertainment.com/audio_books/kuma-kuma-kuma-bear-audiobook-vol-4/,Seven Seas Entertainment,Kuma Kuma Kuma Bear,4,Audiobook,,2025-09-04
kumakumakumabear,https://sevenseasentertainment.com/audio_books/kuma-kuma-kuma-bear-audiobook-vol-5/,Seven Seas Entertainment,Kuma Kuma Kuma Bear,5,Audiobook,,2025-10-02
kumakumakumabear,https://sevenseasentertainment.com/audio_books/kuma-kuma-kuma-bear-audiobook-vol-6/,Seven Seas Entertainment,Kuma Kuma Kuma Bear,6,Audiobook,,2025-11-06
kumakumakumabear,https://sevenseasentertainment.com/audio_books/kuma-kuma-kuma-bear-audiobook-vol-7/,Seven Seas Entertainment,Kuma Kuma Kuma Bear,7,Audiobook,,2025-12-04
lilaandthewindsofwar,https://yenpress.com/titles/9798855402865-lila-and-the-winds-of-war,Yen Press,Lila and the Winds of War,1,Audio,9798855402865,2026-01-13
lonerlifeinanotherworld,https://sevenseasentertainment.com/audio_books/loner-life-in-another-world-audiobook-vol-1/,Seven Seas Entertainment,Loner Life in Another World,1,Audiobook,,2025-10-16
lonerlifeinanotherworld,https://sevenseasentertainment.com/audio_books/loner-life-in-another-world-audiobook-vol-2/,Seven Seas Entertainment,Loner Life in Another World,2,Audiobook,,2025-11-20
lonerlifeinanotherworld,https://sevenseasentertainment.com/audio_books/loner-life-in-another-world-audiobook-vol-3/,Seven Seas Entertainment,Loner Life in Another World,3,Audiobook,,2025-12-18
magicalexplorer,https://yenpress.com/titles/9798855431292-magical-explorer-vol-1,Yen Press,Magical Explorer,1,Audio,9798855431292,2025-12-09
magicalexplorer,https://yenpress.com/titles/9798855431308-magical-explorer-vol-2,Yen Press,Magical Explorer,2,Audio,9798855431308,2026-03-10
magicalexplorer,https://yenpress.com/titles/9798855431315-magical-explorer-vol-3,Yen Press,Magical Explorer,3,Audio,9798855431315,2026-06-09
misssavagefang,https://yenpress.com/titles/9798855430820-miss-savage-fang-vol-1,Yen Press,Miss Savage Fang,1,Audio,9798855430820,2026-02-24
misssavagefang,https://yenpress.com/titles/9798855430837-miss-savage-fang-vol-2,Yen Press,Miss Savage Fang,2,Audio,9798855430837,2026-05-19
moderndungeoncapturestartingwithbrokenskills,https://sevenseasentertainment.com/audio_books/modern-dungeon-capture-starting-with-broken-skills-audiobook-vol-1/,Seven Seas Entertainment,Modern Dungeon Capture Starting with Broken Skills,1,Audiobook,,2026-01-15
monogatari,https://kodansha.us/product/kizumonogatari,Kodansha,KIZUMONOGATARI,1,Audiobook,,2016-05-25
monogatari,https://kodansha.us/product/nekomonogatari-white,Kodansha,NEKOMONOGATARI (WHITE),2,Audiobook,,2019-04-09
monogatari,https://kodansha.us/product/bakemonogatari-part-1,Kodansha,BAKEMONOGATARI,1,Audiobook,,2020-03-24
monogatari,https://kodansha.us/product/bakemonogatari-part-2,Kodansha,BAKEMONOGATARI,2,Audiobook,,2020-03-24
monogatari,https://kodansha.us/product/bakemonogatari-part-3,Kodansha,BAKEMONOGATARI,3,Audiobook,,2020-03-24
monstermusumethenovelmonstergirlsonthejob,https://sevenseasentertainment.com/audio_books/monster-musume-the-novel-monster-girls-on-the-job-audiobook/,Seven Seas Entertainment,Monster Musume The Novel – Monster Girls on the Job!,1,Audiobook,,2025-05-08
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-1/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,1,Audiobook,,2023-09-28
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-2/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,2,Audiobook,,2023-10-26
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-3/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,3,Audiobook,,2023-10-26
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-4/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,4,Audiobook,,2023-11-30
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-5/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,5,Audiobook,,2023-11-30
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-6/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,6,Audiobook,,2023-12-21
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-7/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,7,Audiobook,,2023-12-21
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-8/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,8,Audiobook,,2024-01-25
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-9/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,9,Audiobook,,2024-01-25
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-10/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,10,Audiobook,,2024-02-22
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-11/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,11,Audiobook,,2024-02-22
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-12/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,12,Audiobook,,2024-03-28
